# DIGITAL FOREST TWIN - ECOSENSE IMPORT FILE
# Generated: 2026-02-04 (regenerated with fixes)
# Source: EcoSense raw data (ecosense_250911.csv)
# Records: 1504
#
# FIXES APPLIED:
# - LocationID set to 5 (Ecosense_MixedPlot) — was empty
# - 2 rows with valid coords but unknown species included (NULL SpeciesID)
# - Species abbreviations (BE, DF) properly mapped
#
# REQUIRED FIELDS: LocationID, Latitude, Longitude
# All coordinates in WGS84 (EPSG:4326), transformed from EPSG:32632
#
LocationID,PlotID,CampaignID,SpeciesID,VariantTypeID,DataSourceType,Latitude,Longitude,Easting_32632,Northing_32632,SourceCRS,DBH_cm,Height_m,TreeStatusID,CrownWidth_m,CrownBaseHeight_m,Age_years,HealthScore,TaperTypeID,StraightnessTypeID,BranchingPatternID,BarkCharacteristicID,FieldNotes,MeasurementDate
5,,,1,1,field,48.26835543013033,7.878330281411071,416763.9346,5346735.576,32632,40.43,28.47299354,,,,,,,,,,TreeID: 9_37 | Plot: 9 | EcoSense sensor tree | QR: https://dt.unr.uni-freiburg.de/ecosense/9_37 | Elevation: 521.276550292969m,2025-09-11
5,,,1,1,field,48.26832976957026,7.878295108822981,416761.2829,5346732.762,32632,44.25,29.30369442,,,,,,,,,,TreeID: 9_39 | Plot: 9 | EcoSense sensor tree | QR: https://dt.unr.uni-freiburg.de/ecosense/9_39 | Elevation: 521.375610351562m,2025-09-11
5,,,1,1,field,48.26747464113744,7.878163810798049,416750.1508,5346637.858,32632,18.14,29.12429087,,,,,,,,,,TreeID: 13_110 | Plot: 13 | EcoSense sensor tree | QR: https://dt.unr.uni-freiburg.de/ecosense/13_110 | Elevation: 524.488586425781m,2025-09-11
5,,,1,1,field,48.267489303768,7.878267770463854,416757.8892,5346639.375,32632,36.92,29.71446393,,,,,,,,,,TreeID: 13_115 | Plot: 13 | EcoSense sensor tree | QR: https://dt.unr.uni-freiburg.de/ecosense/13_115 | Elevation: 524.140747070312m,2025-09-11
5,,,1,1,field,48.26749815047083,7.878325226034558,416762.1672,5346640.296,32632,31.83,28.1663453,,,,,,,,,,TreeID: 13_116 | Plot: 13 | EcoSense sensor tree | QR: https://dt.unr.uni-freiburg.de/ecosense/13_116 | Elevation: 523.836669921875m,2025-09-11
5,,,1,1,field,48.26757154848226,7.878409239260741,416768.5208,5346648.363,32632,42.34,30.1640723,,,,,,,,,,TreeID: 13_117 | Plot: 13 | EcoSense sensor tree | QR: https://dt.unr.uni-freiburg.de/ecosense/13_117 | Elevation: 523.418823242188m,2025-09-11
5,,,1,1,field,48.26755601372996,7.878416003104309,416768.9975,5346646.629,32632,13.05,29.9490102,,,,,,,,,,TreeID: 13_118 | Plot: 13 | EcoSense sensor tree | QR: https://dt.unr.uni-freiburg.de/ecosense/13_118 | Elevation: 523.397033691406m,2025-09-11
5,,,1,1,field,48.2674707506529,7.878369078720962,416765.3769,5346637.203,32632,19.1,28.50541915,,,,,,,,,,TreeID: 13_119 | Plot: 13 | EcoSense sensor tree | QR: https://dt.unr.uni-freiburg.de/ecosense/13_119 | Elevation: 523.639526367188m,2025-09-11
5,,,1,1,field,48.26744283141944,7.878362451900356,416764.8398,5346634.107,32632,18.46,25.47176543,,,,,,,,,,TreeID: 13_120 | Plot: 13 | EcoSense sensor tree | QR: https://dt.unr.uni-freiburg.de/ecosense/13_120 | Elevation: 523.587280273438m,2025-09-11
5,,,6,1,field,48.268513982526365,7.87805075953578,416743.4499,5346753.502,32632,55.07,32.72774584,,,,,,,,,,TreeID: 8_17 | Plot: 8 | EcoSense sensor tree | QR: https://dt.unr.uni-freiburg.de/ecosense/8_17 | Elevation: 520.404052734375m,2025-09-11
5,,,6,1,field,48.26848933318155,7.878172926153376,416752.475357117,5346750.62977173,32632,30.24,,,,,,,,,,,TreeID: 8_18 | Plot: 8 | EcoSense sensor tree | QR: https://dt.unr.uni-freiburg.de/ecosense/8_18 | Elevation: 520.463317871094m,2025-09-11
5,,,1,1,field,48.26848225790618,7.878120700415105,416748.5884,5346749.9,32632,16.23,27.6717414,,,,,,,,,,TreeID: 8_20 | Plot: 8 | EcoSense sensor tree | QR: https://dt.unr.uni-freiburg.de/ecosense/8_20 | Elevation: 520.487121582031m,2025-09-11
5,,,1,1,field,48.26855506606455,7.878298248677933,416761.8818,5346757.8,32632,45.2,29.13032305,,,,,,,,,,TreeID: 5_31 | Plot: 5 | EcoSense sensor tree | QR: https://dt.unr.uni-freiburg.de/ecosense/5_31 | Elevation: 520.1904296875m,2025-09-11
5,,,6,1,field,48.2685655954629,7.878123484643168,416748.930375975,5346759.15983883,32632,59.84,,,,,,,,,,,TreeID: 4_62 | Plot: 4 | EcoSense sensor tree | QR: https://dt.unr.uni-freiburg.de/ecosense/4_62 | Elevation: 520.322021484375m,2025-09-11
5,,,1,1,field,48.26856033546855,7.878100614070607,416747.2247,5346758.6,32632,15.92,28.6064603,,,,,,,,,,TreeID: 4_61 | Plot: 4 | EcoSense sensor tree | QR: https://dt.unr.uni-freiburg.de/ecosense/4_61 | Elevation: 520.053955078125m,2025-09-11
5,,,1,1,field,48.26855968979231,7.878193401367685,416754.109018071,5346758.42761173,32632,15.92,27.70761175,,,,,,,,,,TreeID: 4_65 | Plot: 4 | EcoSense sensor tree | QR: https://dt.unr.uni-freiburg.de/ecosense/4_65 | Elevation: 519.920532226562m,2025-09-11
5,,,1,1,field,48.26858332898048,7.878255988125574,416758.791719972,5346760.98720913,32632,39.15,,,,,,,,,,,TreeID: 4_67 | Plot: 4 | EcoSense sensor tree | QR: https://dt.unr.uni-freiburg.de/ecosense/4_67 | Elevation: 519.939758300781m,2025-09-11
5,,,6,1,field,48.26801054749473,7.877943687083802,416734.6866,5346697.662,32632,54.11,34.84175598,,,,,,,,,,TreeID: 12_14 | Plot: 12 | EcoSense sensor tree | QR: https://dt.unr.uni-freiburg.de/ecosense/12_14 | Elevation: 523.127502441406m,2025-09-11
5,,,6,1,field,48.26800090813919,7.878006012428902,416739.2959,5346696.523,32632,55.7,38.24917726,,,,,,,,,,TreeID: 12_16 | Plot: 12 | EcoSense sensor tree | QR: https://dt.unr.uni-freiburg.de/ecosense/12_16 | Elevation: 523.226501464844m,2025-09-11
5,,,6,1,field,48.26786885491607,7.878024878880235,416740.4814,5346681.825,32632,74.48,37.8969438,,,,,,,,,,TreeID: 12_22 | Plot: 12 | EcoSense sensor tree | QR: https://dt.unr.uni-freiburg.de/ecosense/12_22 | Elevation: 524.103332519531m,2025-09-11
5,,,6,1,field,48.26779395064467,7.878029327590921,416740.689845401,5346673.4946663,32632,40.74,,,,,,,,,,,TreeID: 12_27 | Plot: 12 | EcoSense sensor tree | QR: https://dt.unr.uni-freiburg.de/ecosense/12_27 | Elevation: 524.120239257812m,2025-09-11
5,,,6,1,field,48.26776347709187,7.87801325847505,416739.4479,5346670.125,32632,56.66,36.97019443,,,,,,,,,,TreeID: 12_28 | Plot: 12 | EcoSense sensor tree | QR: https://dt.unr.uni-freiburg.de/ecosense/12_28 | Elevation: 524.254821777344m,2025-09-11
5,,,6,1,field,48.26777051491131,7.877952631728337,416734.9604,5346670.973,32632,48.38,33.08923761,,,,,,,,,,TreeID: 12_26 | Plot: 12 | EcoSense sensor tree | QR: https://dt.unr.uni-freiburg.de/ecosense/12_26 | Elevation: 524.150024414062m,2025-09-11
5,,,6,1,field,48.26779695082151,7.87792710790193,416733.1093,5346673.939,32632,47.43,35.52921006,,,,,,,,,,TreeID: 12_25 | Plot: 12 | EcoSense sensor tree | QR: https://dt.unr.uni-freiburg.de/ecosense/12_25 | Elevation: 524.019348144531m,2025-09-11
5,,,6,1,field,48.26783946165841,7.877956583533837,416735.365661007,5346678.63205172,32632,50.93,,,,,,,,,,,TreeID: 12_23 | Plot: 12 | EcoSense sensor tree | QR: https://dt.unr.uni-freiburg.de/ecosense/12_23 | Elevation: 523.771667480469m,2025-09-11
5,,,6,1,field,48.26793339137868,7.877859977099881,416728.3494,5346689.177,32632,49.34,33.58278898,,,,,,,,,,TreeID: 12_10 | Plot: 12 | EcoSense sensor tree | QR: https://dt.unr.uni-freiburg.de/ecosense/12_10 | Elevation: 523.372924804688m,2025-09-11
5,,,6,1,field,48.26786054104788,7.877886513180266,416730.2002,5346681.051,32632,43.29,33.89259655,,,,,,,,,,TreeID: 12_24 | Plot: 12 | EcoSense sensor tree | QR: https://dt.unr.uni-freiburg.de/ecosense/12_24 | Elevation: 523.742065429688m,2025-09-11
5,,,1,1,field,48.2672325614707,7.877502408259095,416700.676343439,5346611.6686289,32632,8.91,27.28962149,,,,,,,,,,TreeID: 16_27 | Plot: 16 | QR: https://dt.unr.uni-freiburg.de/ecosense/16_27 | Elevation: 524.799743652344m,2025-09-11
5,,,1,1,field,48.267234283768616,7.877467680601105,416698.102078088,5346611.89774244,32632,16.55,27.65825122,,,,,,,,,,TreeID: 16_28 | Plot: 16 | QR: https://dt.unr.uni-freiburg.de/ecosense/16_28 | Elevation: 524.655944824219m,2025-09-11
5,,,1,1,field,48.26724597586158,7.877484887066228,416699.397935178,5346613.17863203,32632,13.05,26.53824404,,,,,,,,,,TreeID: 16_29 | Plot: 16 | QR: https://dt.unr.uni-freiburg.de/ecosense/16_29 | Elevation: 524.713439941406m,2025-09-11
5,,,1,1,field,48.2672586704394,7.877554505575982,416704.584803682,5346614.5140774,32632,36.61,28.58093068,,,,,,,,,,TreeID: 16_30 | Plot: 16 | QR: https://dt.unr.uni-freiburg.de/ecosense/16_30 | Elevation: 524.941955566406m,2025-09-11
5,,,1,1,field,48.26721718507824,7.877547496777805,416703.997276127,5346609.91064066,32632,39.79,28.73643552,,,,,,,,,,TreeID: 16_31 | Plot: 16 | QR: https://dt.unr.uni-freiburg.de/ecosense/16_31 | Elevation: 525.006164550781m,2025-09-11
5,,,1,1,field,48.26721508568556,7.877526098314661,416702.405929985,5346609.70051411,32632,7.96,,,,,,,,,,,TreeID: 16_32 | Plot: 16 | QR: https://dt.unr.uni-freiburg.de/ecosense/16_32 | Elevation: 524.952758789062m,2025-09-11
5,,,1,1,field,48.267197729998095,7.877513966180783,416701.477423741,5346607.78461707,32632,14.64,28.09705714,,,,,,,,,,TreeID: 16_33 | Plot: 16 | QR: https://dt.unr.uni-freiburg.de/ecosense/16_33 | Elevation: 524.947814941406m,2025-09-11
5,,,1,1,field,48.26719260187047,7.877521654498667,416702.039623431,5346607.20629043,32632,12.41,,,,,,,,,,,TreeID: 16_34 | Plot: 16 | QR: https://dt.unr.uni-freiburg.de/ecosense/16_34 | Elevation: 524.974670410156m,2025-09-11
5,,,1,1,field,48.26715944528102,7.877531926795669,416702.748023811,5346603.50983477,32632,48.06,27.71990527,,,,,,,,,,TreeID: 16_35 | Plot: 16 | QR: https://dt.unr.uni-freiburg.de/ecosense/16_35 | Elevation: 525.098083496094m,2025-09-11
5,,,1,1,field,48.26715454268604,7.877607236423882,416708.328629742,5346602.88320678,32632,31.51,28.20064232,,,,,,,,,,TreeID: 16_36 | Plot: 16 | QR: https://dt.unr.uni-freiburg.de/ecosense/16_36 | Elevation: 525.177307128906m,2025-09-11
5,,,1,1,field,48.26715362745084,7.877623685649737,416709.547805861,5346602.76363289,32632,8.28,,,,,,,,,,,TreeID: 16_37 | Plot: 16 | QR: https://dt.unr.uni-freiburg.de/ecosense/16_37 | Elevation: 525.218444824219m,2025-09-11
5,,,1,1,field,48.26720977833546,7.877639292207571,416710.797182823,5346608.98779502,32632,33.42,29.12801432,,,,,,,,,,TreeID: 16_38 | Plot: 16 | QR: https://dt.unr.uni-freiburg.de/ecosense/16_38 | Elevation: 525.115478515625m,2025-09-11
5,,,1,1,field,48.267214453101374,7.877636672369909,416710.610366837,5346609.51023125,32632,10.82,30.11716749,,,,,,,,,,TreeID: 16_39 | Plot: 16 | QR: https://dt.unr.uni-freiburg.de/ecosense/16_39 | Elevation: 525.135314941406m,2025-09-11
5,,,1,1,field,48.267230930053685,7.877614474227205,416708.98986594,5346611.36570594,32632,13.05,28.9544626,,,,,,,,,,TreeID: 16_40 | Plot: 16 | QR: https://dt.unr.uni-freiburg.de/ecosense/16_40 | Elevation: 524.967651367188m,2025-09-11
5,,,1,1,field,48.267239377856576,7.877598498505123,416707.818070384,5346612.32200088,32632,6.68,28.51875534,,,,,,,,,,TreeID: 16_41 | Plot: 16 | QR: https://dt.unr.uni-freiburg.de/ecosense/16_41 | Elevation: 525.056335449219m,2025-09-11
5,,,1,1,field,48.26726656132236,7.8776546036046,416712.025681261,5346615.28253499,32632,14.32,31.00837691,,,,,,,,,,TreeID: 16_42 | Plot: 16 | QR: https://dt.unr.uni-freiburg.de/ecosense/16_42 | Elevation: 524.988464355469m,2025-09-11
5,,,1,1,field,48.26725871053516,7.877692618833147,416714.833950391,5346614.36868784,32632,52.84,31.15074948,,,,,,,,,,TreeID: 16_43 | Plot: 16 | QR: https://dt.unr.uni-freiburg.de/ecosense/16_43 | Elevation: 525.181701660156m,2025-09-11
5,,,1,1,field,48.26725555330118,7.877703501148205,416715.636372824,5346614.00595958,32632,7.32,30.39648236,,,,,,,,,,TreeID: 16_44 | Plot: 16 | QR: https://dt.unr.uni-freiburg.de/ecosense/16_44 | Elevation: 525.107788085938m,2025-09-11
