# DIGITAL FOREST TWIN - MATHISLE IMPORT FILE
# Generated: 2026-01-19 14:43:20
# Source: Mathisle raw data
# Records: 724
#
# REQUIRED FIELDS: LocationID, SpeciesID, Latitude, Longitude
# All coordinates in WGS84 (EPSG:4326)
#
LocationID,SpeciesID,VariantTypeID,Latitude,Longitude,DBH_cm,Height_m,TreeStatusID,CrownWidth_m,CrownBaseHeight_m,Age_years,HealthScore,TaperTypeID,StraightnessTypeID,BranchingPatternID,BarkCharacteristicID,FieldNotes,MeasurementDate
,1,1,47.88506421,8.08779647166667,8.28,,1,,,,,,,,,TreeID: 95 | Plot: Mathisle | Species: 10 Beech (Fagus sylvatica ) | QR: https://dt.unr.uni-freiburg.de/mathisle/95,2025-02-10
,1,1,47.8846286183333,8.08810620833333,27.06,,1,,,,,,,,,TreeID: 630 | Plot: Mathisle | Species: 10 Beech (Fagus sylvatica ) | QR: https://dt.unr.uni-freiburg.de/mathisle/630,2025-04-10
,1,1,47.8843895083333,8.089031465,8.91,,1,,,,,,,,,TreeID: 750 | Plot: Mathisle | Species: 10 Beech (Fagus sylvatica ) | QR: https://dt.unr.uni-freiburg.de/mathisle/750,2025-04-10
,1,1,47.884454445,8.08894159333334,8.91,,1,,,,,,,,,TreeID: 754 | Plot: Mathisle | Species: 10 Beech (Fagus sylvatica ) | QR: https://dt.unr.uni-freiburg.de/mathisle/754,2025-04-10
,1,1,47.88477809,8.08802698833333,23.87,,1,,,,,,,,,TreeID: 477 | Plot: Mathisle | Species: 10 Beech (Fagus sylvatica ) | QR: https://dt.unr.uni-freiburg.de/mathisle/477,2025-03-26
,1,1,47.884543215,8.08819182166667,8.12,,1,,,,,,,,,TreeID: 649 | Plot: Mathisle | Species: 10 Beech (Fagus sylvatica ) | QR: https://dt.unr.uni-freiburg.de/mathisle/649,2025-04-10
,1,1,47.884436985,8.08901429666667,7.16,,1,,,,,,,,,TreeID: 740 | Plot: Mathisle | Species: 10 Beech (Fagus sylvatica ) | QR: https://dt.unr.uni-freiburg.de/mathisle/740,2025-04-10
,1,1,47.884615385,8.08775254666667,34.7,,1,,,,,,,,,TreeID: 636 | Plot: Mathisle | Species: 10 Beech (Fagus sylvatica ) | QR: https://dt.unr.uni-freiburg.de/mathisle/636,2025-04-10
,1,1,47.88467374,8.08886347,16.55,,1,,,,,,,,,TreeID: 507 | Plot: Mathisle | Species: 10 Beech (Fagus sylvatica ) | QR: https://dt.unr.uni-freiburg.de/mathisle/507,2025-03-26
,1,1,47.8846359866667,8.08807091833333,8.59,,1,,,,,,,,,TreeID: 573 | Plot: Mathisle | Species: 10 Beech (Fagus sylvatica ) | QR: https://dt.unr.uni-freiburg.de/mathisle/573,2025-03-27
,1,1,47.8846227566667,8.08775668333333,7.16,,1,,,,,,,,,TreeID: 635 | Plot: Mathisle | Species: 10 Beech (Fagus sylvatica ) | QR: https://dt.unr.uni-freiburg.de/mathisle/635,2025-04-10
,1,1,47.8846462716667,8.08876042166667,9.87,,1,,,,,,,,,TreeID: 561 | Plot: Mathisle | Species: 10 Beech (Fagus sylvatica ) | QR: https://dt.unr.uni-freiburg.de/mathisle/561,2025-03-27
,1,1,47.8848813416667,8.089005855,8.59,,1,,,,,,,,,TreeID: 347 | Plot: Mathisle | Species: 10 Beech (Fagus sylvatica ) | QR: https://dt.unr.uni-freiburg.de/mathisle/347,2025-03-05
,1,1,47.88518169,8.08821179666667,17.82,,1,,,,,,,,,TreeID: 19 | Plot: Mathisle | Species: 10 Beech (Fagus sylvatica ) | QR: https://dt.unr.uni-freiburg.de/mathisle/19,2025-02-06
,1,1,47.8842708566667,8.08844777333333,10.66,,1,,,,,,,,,TreeID: 850 | Plot: Mathisle | Species: 10 Beech (Fagus sylvatica ) | QR: https://dt.unr.uni-freiburg.de/mathisle/850,2025-04-13
,1,1,47.8844629933333,8.08811759833333,6.84,,1,,,,,,,,,TreeID: 713 | Plot: Mathisle | Species: 10 Beech (Fagus sylvatica ) | QR: https://dt.unr.uni-freiburg.de/mathisle/713,2025-04-10
,1,1,47.8848950033333,8.087888135,6.68,,1,,,,,,,,,TreeID: 374 | Plot: Mathisle | Species: 10 Beech (Fagus sylvatica ) | QR: https://dt.unr.uni-freiburg.de/mathisle/374,2025-03-05
,1,1,47.884509095,8.08827702333334,10.03,,1,,,,,,,,,TreeID: 690 | Plot: Mathisle | Species: 10 Beech (Fagus sylvatica ) | QR: https://dt.unr.uni-freiburg.de/mathisle/690,2025-04-10
,1,1,47.8848814266667,8.08768374833334,24.51,,1,,,,,,,,,TreeID: 398 | Plot: Mathisle | Species: 10 Beech (Fagus sylvatica ) | QR: https://dt.unr.uni-freiburg.de/mathisle/398,2025-03-05
,1,1,47.8846289533333,8.08824013166667,8.75,,1,,,,,,,,,Plot: Mathisle | Species: 10 Beech (Fagus sylvatica ),2025-03-27
,1,1,47.8845249433333,8.08909270833333,8.59,,1,,,,,,,,,TreeID: 609 | Plot: Mathisle | Species: 10 Beech (Fagus sylvatica ) | QR: https://dt.unr.uni-freiburg.de/mathisle/609,2025-04-10
,1,1,47.8845564333333,8.088409845,40.27,,1,,,,,,,,,TreeID: 652 | Plot: Mathisle | Species: 10 Beech (Fagus sylvatica ) | QR: https://dt.unr.uni-freiburg.de/mathisle/652,2025-04-10
,1,1,47.8850940383333,8.08877352166667,7.64,,1,,,,,,,,,TreeID: 125 | Plot: Mathisle | Species: 10 Beech (Fagus sylvatica ) | QR: https://dt.unr.uni-freiburg.de/mathisle/125,2025-02-12
,1,1,47.8845896066667,8.08877702666667,6.68,,1,,,,,,,,,TreeID: 615 | Plot: Mathisle | Species: 10 Beech (Fagus sylvatica ) | QR: https://dt.unr.uni-freiburg.de/mathisle/615,2025-04-10
