aquarius_name,full_id,plot_id,tree_id,plot_type,species,x_32632,y_32632,dbh_m,tls_height_m,qr_code_id
Beech_Pure_12,14_66,14,66,BeechPlot,Beech,416780.9837,5346648.228,0.181436635124761,29.24469662,https://dt.unr.uni-freiburg.de/ecosense/14_66
Beech_Pure_15,14_86,14,86,BeechPlot,Beech,416779.677016052,5346631.88032158,0.47109863155201,,https://dt.unr.uni-freiburg.de/ecosense/14_86
Beech_Pure_14,14_87,14,87,BeechPlot,Beech,416778.9924,5346637.885,0.3947042588679,30.22440536,https://dt.unr.uni-freiburg.de/ecosense/14_87
Beech_Pure_4,14_90,14,90,BeechPlot,Beech,416774.5212,5346642.288,0.385154962282387,29.71296842,https://dt.unr.uni-freiburg.de/ecosense/14_90
Beech_Pure_2,14_92,14,92,BeechPlot,Beech,416772.3034,5346647.643,0.331042281631142,30.22912117,https://dt.unr.uni-freiburg.de/ecosense/14_92
Beech_Pure_3,14_94,14,94,BeechPlot,Beech,416770.0531,5346644.187,0.302394391874601,29.36839439,https://dt.unr.uni-freiburg.de/ecosense/14_94
Beech_Pure_6,14_95,14,95,BeechPlot,Beech,416770.428713739,5346637.05698166,0.315126787321953,,https://dt.unr.uni-freiburg.de/ecosense/14_95
Beech_Pure_5,14_96,14,96,BeechPlot,Beech,416773.537334425,5346635.31787117,0.407436654315252,,https://dt.unr.uni-freiburg.de/ecosense/14_96
Beech_Pure_7,14_98,14,98,BeechPlot,Beech,416771.9686,5346631.138,0.222816920328653,30.44339835,https://dt.unr.uni-freiburg.de/ecosense/14_98
Beech_Pure_16,14_99,14,99,BeechPlot,Beech,416769.3659,5346629.067,0.436084544071793,30.74512606,https://dt.unr.uni-freiburg.de/ecosense/14_99
