RootSystemTypeName,Description
tap_root,Single dominant vertical root descending from the root collar (Koestler et al. 1968 Pfahlwurzel type); Guerrero Inigez 2017 tap root model
heart_root,Multiple oblique roots radiating from the root collar with no single dominant axis (Koestler et al. 1968 Herzwurzel type); Guerrero Inigez 2017 heart-shaped root model
lateral_root,Shallow roots spreading horizontally near the surface with no dominant vertical axis (Koestler et al. 1968 Flachwurzel/Senkerwurzel type); Guerrero Inigez 2017 lateral/surface root model
