TreeStatusName,Description
healthy,Tree shows no signs of stress or disease
stressed,Tree shows signs of environmental or biotic stress
declining,Tree health is deteriorating
dead,Tree is no longer alive
harvested,Tree has been removed through management
missing,Tree cannot be located or identified
downed,Tree has fallen but is not standing dead
broken,Stem or main trunk is broken above breast height
