CrownArchitectureName,Description,TypicalExamples
excurrent,Single dominant vertical leader forming a conical crown,Conifers (spruce; fir; pine)
decurrent,Multiple dominant branches with no central axis resulting in a spreading crown,Oaks; maples; elms
abcurrent,Aerial terminal bud and leaves (palm-like forms),Palms; tree ferns
adcurrent,Basal buds and leaves (ground-hugging forms),Yucca; grass trees
bicurrent,Irregular forked branching with thick green stems,Cacti; some succulents
