DataSourceTypeName,Description
field,Direct measurement in the field by personnel
lidar,Derived from a LiDAR point cloud scan
photogrammetry,Derived from photogrammetry or SfM processing
estimated,Estimated from allometric or statistical models
simulated,Generated by a growth simulator or seed script
