StraightnessName,Description,DeviationAngleMin,DeviationAngleMax
straight,Minimal deviation from vertical,0,5
slight_sweep,Minor curvature or lean,5,15
moderate_sweep,Noticeable curvature,15,30
severe_sweep,Significant curvature or lean,30,90
