index,species,x,y,dbh,height,elevation,sensor
0,Douglas Fir,416739.17463228,5346746.65375642,0.544309905374282,34.05667745063499,520.677062988281,True
1,Beech,416741.364568524,5346744.42893538,0.210084524881302,26.15339727188488,520.599853515625,True
2,Douglas Fir,416744.575059311,5346743.38897163,0.439267642933631,29.196799556300025,520.770812988281,True
3,Douglas Fir,416752.967953518,5346746.09019684,0.346957775940332,26.56039802068332,520.72216796875,True
4,Beech,416748.175762414,5346736.59545574,0.28966199642725,24.1417939,521.263061523438,True
5,Beech,416780.9837,5346648.228,0.181436635124761,29.24469662,522.342529296875,True
6,Beech,416779.677016052,5346631.88032158,0.47109863155201,30.44221965376229,522.480041503906,True
7,Beech,416778.9924,5346637.885,0.3947042588679,30.22440536,522.588562011719,True
8,Beech,416774.5212,5346642.288,0.385154962282387,29.71296842,522.928955078125,True
9,Beech,416772.3034,5346647.643,0.331042281631142,30.22912117,523.131652832031,True
10,Beech,416770.0531,5346644.187,0.302394391874601,29.36839439,523.430603027344,True
11,Beech,416770.428713739,5346637.05698166,0.315126787321953,26.355053871759257,523.30859375,True
12,Beech,416773.537334425,5346635.31787117,0.407436654315252,29.552525756744732,523.103149414062,True
13,Beech,416771.9686,5346631.138,0.222816920328653,30.44339835,523.109985351562,True
14,Beech,416769.3659,5346629.067,0.436084544071793,30.74512606,523.4287109375,True
15,Beech,416761.931,5346751.534,0.327859182769304,27.24740432,520.470336914062,True
16,Beech,416761.782673965,5346748.23251959,0.13687325105903,27.866893977334968,520.548706054688,True
17,Beech,416766.976118174,5346751.41925722,0.381971863420549,28.70274793705192,520.357482910156,True
18,Beech,416761.1903,5346743.541,0.159154943091895,27.54763004,520.840454101562,True
19,Beech,416763.9346,5346735.576,0.404253555453414,28.47299354,521.276550292969,True
20,Beech,416761.2829,5346732.762,0.442450741795469,29.30369442,521.375610351562,True
21,Beech,416750.1508,5346637.858,0.181436635124761,29.12429087,524.488586425781,True
22,Beech,416757.8892,5346639.375,0.369239467973197,29.71446393,524.140747070312,True
23,Beech,416762.1672,5346640.296,0.318309886183791,28.1663453,523.836669921875,True
24,Beech,416768.5208,5346648.363,0.423352148624442,30.1640723,523.418823242188,True
25,Beech,416768.9975,5346646.629,0.130507053335354,29.9490102,523.397033691406,True
26,Beech,416765.3769,5346637.203,0.190985931710274,28.50541915,523.639526367188,True
27,Beech,416764.8398,5346634.107,0.184619733986599,25.47176543,523.587280273438,True
28,Douglas Fir,416743.4499,5346753.502,0.550676103097958,32.72774584,520.404052734375,True
29,Douglas Fir,416752.475357117,5346750.62977173,0.302394391874601,27.271952026329423,520.463317871094,True
30,Beech,416748.5884,5346749.9,0.162338041953733,27.6717414,520.487121582031,True
31,Beech,416761.8818,5346757.8,0.452000038380983,29.13032305,520.1904296875,True
32,Douglas Fir,416748.930375975,5346759.15983883,0.598422586025526,36.820340901300064,520.322021484375,True
33,Beech,416747.2247,5346758.6,0.159154943091895,28.6064603,520.053955078125,True
34,Beech,416754.109018071,5346758.42761173,0.159154943091895,27.70761175,519.920532226562,True
35,Beech,416758.791719972,5346760.98720913,0.391521160006063,28.708012573106224,519.939758300781,True
36,Douglas Fir,416734.6866,5346697.662,0.541126806512444,34.84175598,523.127502441406,True
37,Douglas Fir,416739.2959,5346696.523,0.557042300821634,38.24917726,523.226501464844,True
38,Douglas Fir,416740.4814,5346681.825,0.74484513367007,37.8969438,524.103332519531,True
39,Douglas Fir,416740.689845401,5346673.4946663,0.407436654315252,32.08675748949272,524.120239257812,True
40,Douglas Fir,416739.4479,5346670.125,0.566591597407147,36.97019443,524.254821777344,True
41,Douglas Fir,416734.9604,5346670.973,0.483831026999362,33.08923761,524.150024414062,True
42,Douglas Fir,416733.1093,5346673.939,0.474281730413848,35.52921006,524.019348144531,True
